"component","cosine_score","EdgeAnnotation","EdgeScore","EdgeType","explained_intensity","interaction","mass_difference","name","node1","node2","property1","selected","shared interaction","shared name"
"-1","1.0","","1.0","Cosine","1.0","-","0.0","60 (-) 60","60","60","1.0","false","-","60 (-) 60"
"-1","0.9898","C2H4","0.9898","Cosine","55.0","-","-28.031","55 (-) 61","55","61","55","false","-","55 (-) 61"
"-1","1.0","","1.0","Cosine","1.0","-","0.0","75 (-) 75","75","75","1.0","false","-","75 (-) 75"
"-1","1.0","","1.0","Cosine","1.0","-","0.0","8 (-) 8","8","8","1.0","false","-","8 (-) 8"
"-1","1.0","","1.0","Cosine","1.0","-","0.0","79 (-) 79","79","79","1.0","false","-","79 (-) 79"
"-1","1.0","","1.0","Cosine","1.0","-","0.0","3 (-) 3","3","3","1.0","false","-","3 (-) 3"
"-1","0.9976","methanol (-H2O):CH2","0.9976","Cosine","55.0","-","-14.015","57 (-) 55","55","57","55","false","-","57 (-) 55"
"-1","0.9975","methanol (-H2O):CH2","0.9975","Cosine","57.0","-","-14.016","57 (-) 61","57","61","57","false","-","57 (-) 61"
"-1","1.0","","1.0","Cosine","1.0","-","0.0","10 (-) 10","10","10","1.0","false","-","10 (-) 10"
"-1","1.0","","1.0","Cosine","1.0","-","0.0","56 (-) 56","56","56","1.0","false","-","56 (-) 56"
"-1","1.0","","1.0","Cosine","1.0","-","0.0","2 (-) 2","2","2","1.0","false","-","2 (-) 2"
"-1","0.9838","methanol (-H2O):CH2","0.9838","Cosine","61.0","-","-14.015","78 (-) 61","61","78","61","false","-","78 (-) 61"
"-1","0.9913","C2H4","0.9913","Cosine","57.0","-","-28.031","78 (-) 57","57","78","57","false","-","78 (-) 57"
"-1","0.986","C3H6","0.986","Cosine","55.0","-","-42.046","78 (-) 55","55","78","55","false","-","78 (-) 55"
"-1","0.8118","","0.8118","Cosine","76.0","-","0.007","77 (-) 76","76","77","76","false","-","77 (-) 76"
