,Unnamed: 0,X,id_X,premz,rtmed,rtmean,int,col_eng,pol,ms2Peaks,ms1Peaks,neutral_mass,SIRIUSCSV
0,1,1,endo_negM153R40ID1,152.995452880859,40.0539309,40.03246545,9387487.605469,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_01.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM153R40ID1_structure.csv
1,2,2,endo_negM539R46ID2,539.137329101563,45.7737636,45.957333,1143600.671875,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_02.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM539R46ID2_structure.csv
2,3,3,endo_negM125R52ID3,124.991096496582,51.8808447,51.9328158,437969.1132812,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_03.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM125R52ID3_formula.csv
3,4,4,endo_negM161R74ID4,161.045288085938,73.512243,73.5656505,3634138.261719,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_04.txt,no ms1 peaks in QC,no mass from CAMERA,
4,5,5,endo_negM145R77ID5,145.050415039063,76.6833,76.3298388,653651.4296875,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_05.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM145R77ID5_structure.csv
5,6,6,endo_negM253R172ID6,253.092559814453,172.37145,172.4137335,260301.3291016,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_06.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM253R172ID6_structure.csv
6,7,7,endo_negM439R174ID7,439.181213378906,173.935626,173.9676555,2068251.29541,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_07.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM439R174ID7_structure.csv
7,8,8,endo_negM213R187ID8,213.076568603516,187.316964,187.88317,213977.5319824,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_08.txt,no ms1 peaks in QC,no mass from CAMERA,
8,9,9,endo_negM458R189ID9,458.215179443359,188.87082,189.436944,66834.0517578125,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_09.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM458R189ID9_structure.csv
9,10,10,endo_negM157R195ID10,157.086822509766,195.215034,194.705866,846415.6367188,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_010.txt,no ms1 peaks in QC,no mass from CAMERA,
10,11,11,endo_negM201R200ID11,201.076599121094,200.04087,200.038456,674252.8498535,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_011.txt,no ms1 peaks in QC,no mass from CAMERA,
11,12,12,endo_negM497R206ID12,497.169128417969,206.400828,205.838168,556121.3613281,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_012.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM497R206ID12_structure.csv
12,13,13,endo_negM215R210ID13,215.09228515625,209.517549,209.1286455,556554.8093262,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_013.txt,no ms1 peaks in QC,no mass from CAMERA,
13,14,14,endo_negM173R232ID14,173.118026733398,232.105014,232.624422,806559.1738281,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_014.txt,no ms1 peaks in QC,no mass from CAMERA,/Users/mahnoorzulfiqar/OneDriveUNI/GitHub-Repos/MAW/cwl/ms2_spectra_ENDOneg/insilico/SIRIUS/no_isotope/coconut_results_for_negM173R232ID14_structure.csv
14,15,15,endo_negM183R234ID15,183.102310180664,233.637498,234.16541,676194.9296875,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_015.txt,no ms1 peaks in QC,no mass from CAMERA,
15,16,16,endo_negM227R233ID16,227.092254638672,232.784877,232.784877,792613.3216553,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_016.txt,no ms1 peaks in QC,no mass from CAMERA,
16,17,17,endo_negM299R243ID17,299.18603515625,243.334176,242.7064104,228992.5986328,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_017.txt,no ms1 peaks in QC,no mass from CAMERA,
17,18,18,endo_negM197R254ID18,197.11799621582,254.124342,254.661922,524954.6766357,30,neg,ms2_spectra_ENDOneg/insilico/peakfiles_ms2/Peaks_018.txt,no ms1 peaks in QC,no mass from CAMERA,
