relativeIndex	absoluteIndex	description	TP	FP	TN	FN	Acc	MCC	F1	Recall	Precision	Count
0	0	[+] (1)	4862.0	618.0	148763.0	1774.0	0.9846683374247678	0.7986165694224274	0.8025751072961373	0.7326702833031947	0.8872262773722628	6636.0
1	1	[-] (2)	3126.0	389.0	151244.0	1258.0	0.9894434580846959	0.7911973182024603	0.7914925939992403	0.7130474452554745	0.8893314366998577	4384.0
2	2	[#6][CX3](=O) (3 aldehyde or ketone)	99891.0	8663.0	40933.0	6530.0	0.902619586327131	0.7732358585246787	0.9293266658913827	0.9386399300889862	0.9201963999484127	106421.0
3	4	[#6][CX3](=O)[#6] (5 ketone)	17330.0	7726.0	123582.0	7379.0	0.9031836274252165	0.6389052021219369	0.6964734250979604	0.7013638755109475	0.6916507024265645	24709.0
4	5	[#6][CX3](=S) (6 thioaldehyde or thioketone)	70.0	38.0	155851.0	58.0	0.9993846824384522	0.5950585437960288	0.5932203389830508	0.546875	0.6481481481481481	128.0
5	18	[#6,#1]C([#6,#1])(O[#6])(O[#6]) (19 acetal)	17512.0	1378.0	134923.0	2204.0	0.9770409634847484	0.8943896055770618	0.9072164948453608	0.888212619192534	0.9270513499205929	19716.0
6	21	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])([S][#6]) (22 thiohemiaminal)	327.0	82.0	155451.0	157.0	0.9984681156540633	0.7342089906785644	0.7323628219484883	0.6756198347107438	0.7995110024449877	484.0
7	23	[#6,#1]C([#6,#1])=C([#6,#1])N([#6,#1])[#6,#1] (24 enamine)	955.0	300.0	153935.0	827.0	0.9927764282097463	0.6351961203003388	0.6289101086598616	0.5359147025813692	0.7609561752988048	1782.0
8	25	[#6,#1]C([#6,#1])=C([#6,#1])O[#6] (26 enol ether)	2050.0	722.0	151340.0	1905.0	0.9831620913105623	0.6110891896474244	0.6094841682770922	0.5183312262958281	0.7395382395382395	3955.0
9	26	[#6][OH] (27 hydroxy compound)	89065.0	8461.0	50747.0	7744.0	0.8961331136991482	0.7789735831490963	0.9166130650680526	0.9200074373250421	0.9132436478477535	96809.0
10	27	C[OH] (28 alcohol)	76566.0	7652.0	64826.0	6973.0	0.9062602152329554	0.8114875033222476	0.9128203294050322	0.9165300039502507	0.909140563774965	83539.0
11	28	[#6][CH2][OH] (29 primary alcohol)	18766.0	4880.0	126395.0	5976.0	0.9304178390816386	0.7347594372482924	0.7756468545920476	0.7584673833966534	0.7936226000169162	24742.0
12	29	[#6][CH]([#6])[OH] (30 secondary alcohol)	35578.0	6111.0	107981.0	6347.0	0.92014972727331	0.7964724435558642	0.8510058124237568	0.8486106141920096	0.8534145697905923	41925.0
13	30	[#6][C]([#6])([#6])[OH] (31 tertiary alcohol)	7261.0	3783.0	139703.0	5270.0	0.9419742720344578	0.5861075048936274	0.6159915164369035	0.5794429814061128	0.6574610648315827	12531.0
14	31	[#6,#1]C([#6,#1])([OH])C([#6,#1])([#6,#1])[OH] (32 1,2-diol)	19291.0	2128.0	131505.0	3093.0	0.9665356980329066	0.861636636323716	0.880807250644933	0.8618209435310936	0.9006489565339185	22384.0
15	32	[#6,#1]C([#6,#1])([OH])C([#6,#1])([#6,#1])[NH2] (33 1,2-aminoalcohol)	1342.0	466.0	153586.0	623.0	0.9930199914111923	0.7084724569105697	0.7113702623906705	0.6829516539440204	0.7422566371681416	1965.0
16	33	c[OH] (34 phenol)	24273.0	5612.0	120381.0	5751.0	0.9271681932097143	0.7652635400121783	0.8103289989817889	0.8084532374100719	0.8122134850259327	30024.0
17	34	[OH]cc[OH] (35 1,2-diphenol)	3290.0	1367.0	149823.0	1537.0	0.9813866437631796	0.6843217968729096	0.6938000843525938	0.6815827636212969	0.7064633884474983	4827.0
18	36	[#6]O[#6] (37 ether)	71321.0	6157.0	70353.0	8186.0	0.908067710570002	0.8164355788858345	0.9086345829219351	0.8970405121561623	0.920532280131134	79507.0
19	37	COC (38 dialkyl ether)	46587.0	5500.0	96183.0	7747.0	0.9150925860643392	0.8115559433697531	0.8755226881912405	0.8574189273751243	0.8944074337166663	54334.0
20	38	cOC (39 alkylaryl ether)	32864.0	5562.0	111854.0	5737.0	0.9275784049174128	0.8052357509428327	0.8533111766004129	0.8513769073340068	0.8552542549315567	38601.0
21	39	cOc (40 diaryl ether)	826.0	279.0	153992.0	920.0	0.9923149400385856	0.5911708256001587	0.5794458084882497	0.47308132875143183	0.7475113122171946	1746.0
22	40	[#6]S[#6] (41 thioether)	7420.0	1895.0	145553.0	1149.0	0.9804893056525892	0.8202658972285206	0.8297919928427644	0.8659120084023807	0.7965646806226516	8569.0
23	44	[a] (200 aryl)	106594.0	1786.0	44798.0	2839.0	0.9703557945608491	0.929802429205157	0.9787661893459068	0.9740571856752533	0.9835209448237682	109433.0
24	45	[!#6;$([N,O,S,F,Cl,Br,I,P])] (201 heteroatom)	154822.0	187.0	643.0	365.0	0.9964619240211002	0.7012459077197293	0.9982204799546093	0.9976479988658844	0.9987936184350586	155187.0
25	46	[!#6;!$([+0]);!$([F,Cl,Br,I]);!$([o,s,nX3]);!$([Nv5,Pv5,Sv4,Sv6])] (202 HBA)	4465.0	571.0	149483.0	1498.0	0.9867386246370587	0.8081577460441856	0.8118919901809255	0.7487841690424283	0.8866163621922161	5963.0
26	47	[$([N,O;!H0]),$(N(C)(C)C)] (203 HBD)	128605.0	6941.0	14922.0	5549.0	0.9199446214194607	0.6591894953376581	0.953689284390063	0.9586370887189349	0.9487922919156596	134154.0
27	48	[R] (204 Ring)	136038.0	1539.0	15955.0	2485.0	0.9742079388784556	0.8738406833124716	0.9854255704454907	0.9820607408156047	0.9888135371464707	138523.0
28	49	[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C[$([O;$([H1&-0,H0&-1])])]);$(C[#6,#1])])] (205 carboxylic acid)	33554.0	6105.0	109469.0	6889.0	0.9167142042213349	0.7818317865944958	0.8377818281690845	0.829661498899686	0.8460626843843768	40443.0
29	50	[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C(=O)O[#6]);$(C[#6,#1])])] (206 ester)	27069.0	5639.0	116700.0	6609.0	0.9214957344391957	0.7657887242036548	0.8155032687614859	0.8037591305897025	0.8275956952427541	33678.0
30	51	[$([N;+0,+1;$(N(=O)~[O;H0;-0,-1])])] (207 nitro)	2913.0	264.0	152085.0	755.0	0.9934686604664876	0.850099656512288	0.8511322132943754	0.7941657579062159	0.9169027384324835	3668.0
31	52	[$([C;$(C#[N;D1])])] (208 nitrile)	1086.0	449.0	152897.0	1585.0	0.9869629591647064	0.5305143360642823	0.5164051355206848	0.40658929239985026	0.7074918566775245	2671.0
32	53	[$([N;!$(N*=[!#6])]);$(N[$([a])]);!$(N~[!#6])] (209 aniline)	2161.0	1031.0	150970.0	1855.0	0.9815020158059699	0.5943514293251885	0.5996115427302996	0.538097609561753	0.6770050125313283	4016.0
33	54	[$([N;$(N[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C(=O)(N)N)])])])] (210 urea)	1995.0	687.0	152395.0	940.0	0.9895716492433517	0.7057875750926108	0.7103435997863629	0.6797274275979557	0.743847874720358	2935.0
34	55	[CX4H3][#6] (Primary_carbon)	78289.0	8700.0	58285.0	10743.0	0.8753789651127761	0.7469009224633179	0.8895415887877014	0.8793355198131009	0.899987354723011	89032.0
35	56	[CX4H2]([#6])[#6] (Secondary_carbon)	85313.0	8366.0	53232.0	9106.0	0.888012203798304	0.7661793389837213	0.9071122499973417	0.9035575466802233	0.9106950330383544	94419.0
36	57	[CX4H1]([#6])([#6])[#6] (Tertiary_carbon)	39606.0	7638.0	101585.0	7188.0	0.9049718940884647	0.7743503021970584	0.8423403305046896	0.8463905628926786	0.8383286766573533	46794.0
37	58	[CX4]([#6])([#6])([#6])[#6] (Quaternary_carbon)	19907.0	3911.0	128385.0	3814.0	0.950486164969202	0.8082977246083043	0.8375018405940384	0.8392141983896125	0.8357964564614997	23721.0
38	59	[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]=[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]  (Alkene)	32227.0	8106.0	108607.0	7077.0	0.9026836819064589	0.7441418728368439	0.8093474138905282	0.8199419906370853	0.799023132422582	39304.0
39	62	[ClX1][CX4] (Alkylchloride)	1374.0	275.0	153988.0	380.0	0.995801739554023	0.8057947077502093	0.807522774022921	0.7833523375142531	0.8332322619769558	1754.0
40	63	[FX1][CX4] (Alkylfluoride)	3735.0	263.0	151885.0	134.0	0.9974554055006826	0.9483653797975002	0.9495360366086183	0.9653657275781856	0.9342171085542771	3869.0
41	64	[BrX1][CX4] (Alkylbromide)	100.0	59.0	155712.0	146.0	0.9986860406237782	0.5050190902470326	0.4938271604938271	0.4065040650406504	0.6289308176100629	246.0
42	66	[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])] (Alcohol)	47455.0	7188.0	94649.0	6725.0	0.9108238204811014	0.8037034610956941	0.8721501888387565	0.8758767072720561	0.8684552458686382	54180.0
43	70	[OX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])] (Dialkylether)	6346.0	2570.0	141323.0	5778.0	0.9464930103770743	0.5830773862950283	0.6032319391634982	0.523424612339162	0.7117541498429789	12124.0
44	71	[SX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])] (Dialkylthioether)	2359.0	518.0	152573.0	567.0	0.9930456296429235	0.8095148883371684	0.8130277442702051	0.80622009569378	0.8199513381995134	2926.0
45	72	[OX2](c)[CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])] (Alkylarylether)	26382.0	5192.0	118779.0	5664.0	0.9304178390816386	0.7856977336608469	0.8293618359006601	0.8232540722711102	0.8355609045417115	32046.0
46	74	[SX2](c)[CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])] (Alkylarylthioether)	1855.0	671.0	152774.0	717.0	0.9911035335892884	0.7232450551314704	0.7277363672028246	0.7212286158631416	0.734362628661916	2572.0
47	75	[c][SX2][c] (Diarylthioether)	185.0	103.0	155539.0	190.0	0.9981219995256927	0.5620248719239237	0.5580693815987934	0.49333333333333335	0.6423611111111112	375.0
48	77	[NX3+0,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])] (Amine)	35426.0	4553.0	110702.0	5336.0	0.9366158816026459	0.8348435304503263	0.8775219529111604	0.8690937637996173	0.8861152104855049	40762.0
49	78	[NX3H2+0,NX4H3+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])] (Primary_aliph_amine)	15573.0	1995.0	136730.0	1719.0	0.9761949018376203	0.8800959322754979	0.8934595524956971	0.90058986814712	0.886441256830601	17292.0
50	79	[NX3H1+0,NX4H2+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])] (Secondary_aliph_amine)	3750.0	1809.0	148046.0	2412.0	0.972945255965696	0.6267563373200727	0.6398771435884311	0.6085686465433301	0.6745817593092283	6162.0
51	80	[NX3H0+0,NX4H1+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])] (Tertiary_aliph_amine)	8593.0	2195.0	143131.0	2098.0	0.9724837677945352	0.7853647482923984	0.8001303598864007	0.80376017210738	0.796533185020393	10691.0
52	81	[NX4H0+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])] (Quaternary_aliph_ammonium)	1274.0	119.0	154417.0	207.0	0.9979104841139107	0.8859389236299537	0.8865692414752957	0.8602295746117489	0.914572864321608	1481.0
53	82	[NX3H2+0,NX4H3+]c (Primary_arom_amine)	4928.0	2135.0	146850.0	2104.0	0.9728298839229058	0.6850291997366463	0.699255054984037	0.7007963594994312	0.6977205153617443	7032.0
54	83	[NX3H1+0,NX4H2+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])] (Secondary_arom_amine)	239.0	207.0	155322.0	249.0	0.9970772415826481	0.5108343538727476	0.5117773019271948	0.48975409836065575	0.5358744394618834	488.0
55	87	[NX3H0+0,NX4H1+;$([N]([c])([C])[#6]);!$([N]*~[#7,#8,#15,#16])] (Tertiary_mixed_amine)	1203.0	443.0	153443.0	928.0	0.9912124960741457	0.6380509496633341	0.6370135027799841	0.5645236977944627	0.7308626974483596	2131.0
56	89	[N+;!$([N]~[!#6]);!$(N=*);!$([N]*~[#7,#8,#15,#16])] (Ammonium)	1283.0	113.0	154375.0	246.0	0.9976989687021286	0.8770303118879003	0.8772649572649572	0.8391105297580118	0.919054441260745	1529.0
57	90	[SX2H][CX4;!$(C([SX2H])~[O,S,#7,#15])] (Alkylthiol)	757.0	69.0	155027.0	164.0	0.9985065730016601	0.8671773787520393	0.8666285060103034	0.8219326818675353	0.9164648910411622	921.0
58	91	[SX2]([CX4;!$(C([SX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([SX2])[O,S,#7,#15])] (Dialkylthioether)	1973.0	414.0	153138.0	492.0	0.9941929405128929	0.8104323216290338	0.813272877164056	0.8004056795131845	0.8265605362379556	2465.0
59	92	[SX2](c)[CX4;!$(C([SX2])[O,S,#7,#15])] (Alkylarylthioether)	1841.0	633.0	152843.0	700.0	0.9914560592755918	0.7299237338488187	0.73419740777667	0.7245179063360881	0.7441390460792239	2541.0
60	94	[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15,F,Cl,Br,I])][CX4;!$(C([N])[O,S,#7,#15])][NX3;!$(NC=[O,S,N])] (1,2-Aminoalcohol)	2920.0	1000.0	150373.0	1724.0	0.9825403641910817	0.6755702441390518	0.6819243344231667	0.6287683031869078	0.7448979591836735	4644.0
61	106	[NX2;$([N][#6]),$([NH]);!$([N][CX3]=[#7,#8,#15,#16])]=[CX3;$([CH2]),$([CH][#6]),$([C]([#6])[#6])] (Imine)	362.0	217.0	154986.0	452.0	0.9957120057429639	0.5252438690825878	0.5197415649676956	0.44471744471744473	0.6252158894645942	814.0
62	110	[OX2]([#6;!$(C=[O,S,N])])[CX4;!$(C(O)(O)[!#6])][OX2][#6;!$(C=[O,S,N])] (Acetal)	16713.0	1608.0	135605.0	2091.0	0.9762910452066121	0.887007573558749	0.9003636363636365	0.8888002552648373	0.9122318650728672	18804.0
