relativeIndex	absoluteIndex	description	TP	FP	TN	FN	Acc	MCC	F1	Recall	Precision	Count
0	0	[+] (1)	3149.0	371.0	104498.0	860.0	0.9886937673359173	0.8325544791146021	0.8364988710320096	0.7854826640059865	0.8946022727272728	4009.0
1	1	[-] (2)	2129.0	280.0	105760.0	709.0	0.9909164385826338	0.8097351399555119	0.8115113398132267	0.7501761804087386	0.883769198837692	2838.0
2	2	[#6][CX3](=O) (3 aldehyde or ketone)	76082.0	3728.0	24469.0	4599.0	0.9235199030107092	0.802891034109799	0.9481154706494446	0.9429977318079845	0.9532890615211126	80681.0
3	3	[CX3H1](=O)[#6] (4 aldehyde)	536.0	642.0	106706.0	994.0	0.9849740076048421	0.39179379421384164	0.39586410635155095	0.3503267973856209	0.45500848896434637	1530.0
4	4	[#6][CX3](=O)[#6] (5 ketone)	8790.0	3557.0	92251.0	4280.0	0.9280203530557137	0.6512923688145814	0.6916630601565881	0.6725325172149962	0.7119138252207013	13070.0
5	9	[#6,#1]C([#6,#1])=[N][N]([#6,#1])[#6,#1] (10 hydrazone)	65.0	14.0	108571.0	228.0	0.9977773287532835	0.4265657570570642	0.3494623655913978	0.22184300341296928	0.8227848101265823	293.0
6	13	[#6,#1]C([#6,#1])=[N][O][#6] (14 oxime ether)	65.0	3.0	108691.0	119.0	0.9988794797847131	0.5807436052740517	0.5158730158730159	0.3532608695652174	0.9558823529411765	184.0
7	17	[#6,#1]C([#6,#1])([OH])(O[#6]) (18 hemiacetal)	442.0	558.0	106765.0	1113.0	0.9846525468873418	0.3470720005830811	0.34598825831702545	0.2842443729903537	0.442	1555.0
8	18	[#6,#1]C([#6,#1])(O[#6])(O[#6]) (19 acetal)	14967.0	616.0	92511.0	784.0	0.9871415712999871	0.9478290964918022	0.9553200995723494	0.9502253825153959	0.9604697426682923	15751.0
9	19	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(O[#6]) (20 hemiaminal)	136.0	74.0	108498.0	170.0	0.9977589595694263	0.5354391327759134	0.5271317829457364	0.4444444444444444	0.6476190476190476	306.0
10	20	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])(N([#6,#1])[#6,#1]) (21 aminal)	110.0	16.0	108616.0	136.0	0.9986039420268558	0.6242478374107314	0.5913978494623655	0.44715447154471544	0.873015873015873	246.0
11	21	[#6,#1]C([#6,#1])(N([#6,#1])[#6,#1])([S][#6]) (22 thiohemiaminal)	325.0	26.0	108423.0	104.0	0.9988060030492846	0.8369655335902952	0.8333333333333334	0.7575757575757576	0.9259259259259259	429.0
12	23	[#6,#1]C([#6,#1])=C([#6,#1])N([#6,#1])[#6,#1] (24 enamine)	569.0	149.0	107726.0	434.0	0.9946453829056375	0.6679869154726497	0.6612434631028472	0.5672981056829511	0.7924791086350975	1003.0
13	24	[#6,#1]C([#6,#1])=C([#6,#1])[OH] (25 enol)	311.0	127.0	107955.0	485.0	0.9943790297397087	0.5242526456888179	0.5040518638573743	0.3907035175879397	0.7100456621004566	796.0
